Date	Articles	Price	Price-Change	Change
2011-05-13	[(('expert', 'say', 'teleflora', 'ftd', 'flowerscom', 'proflow', 'violat', 'guidelin', 'quest', 'rise', 'onlin', 'search', 'result'),), (('email', 'disclos', 'state', 'court', 'illumin', 'strategi', 'googl', 'protect', 'android', 'softwar', 'smartphon'), ('craig', 'walker', 'found', 'grandcentr', 'becam', 'googl', 'voic', 'sold', 'it', 'start', 'new', 'compani', 'firespott', 'lab', 'the', 'startup', 'mr', 'walker', 'call', 'a', 'compani', 'creation', 'shop', 'breed', 'ground', 'mobil', 'communicati'), ('googl', 'start', 'cloudbas', 'music', 'player')), (('the', 'servic', 'call', 'music', 'beta', 'googl', 'similar', 'one', 'introduc', 'amazon', 'march', 'although', 'store', 'consider', 'music'), ('the', 'hear', 'call', 'senat', 'al', 'franken', 'follow', 'seri', 'embarrass', 'report', 'much', 'inform', 'collect', 'store', 'mobil', 'phone'), ('the', 'hear', 'mobil', 'privaci', 'first', 'newli', 'form', 'senat', 'judiciari', 'subcommitte', 'privaci', 'technolog', 'law'), ('at', 'develop', 'confer', 'san', 'francisco', 'googl', 'address', 'critic', 'android', 'oper', 'system', 'open', 'enough', 'announc', 'new', 'oper', 'system', 'cellphon', 'tablet', 'tvs'), ('googl', 'said', 'tuesday', 'justic', 'depart', 'investig', 'advertis', 'practic', 'googl', 'may', 'pay', 'million', 'disclos', 'detail')), (('googl', 'hire', 'lobbyist', 'promot', 'legisl', 'licens', 'autonom', 'vehicl', 'exempt', 'would', 'permit', 'text', 'drive', 'oper', 'car'), ('a', 'tool', 'develop', 'ford', 'would', 'learn', 'particular', 'driver', 'habit', 'could', 'use', 'improv', 'fuel', 'economi', 'optim', 'power', 'deliveri')), (('pm', 'updat', 'san', 'francisco', 'googl', 'took', 'anoth', 'swipe', 'microsoft', 'wednesday', 'introduc', 'new', 'kind', 'comput', 'call', 'chromebook', 'store', 'everyth', 'onlin', 'googl', 'hope', 'devic', 'say', 'elimin'), ('the', 'war', 'googl', 'facebook', 'escal', 'bit', 'news', 'facebook', 'hire', 'publicrel', 'firm', 'known', 'polit', 'work', 'push', 'articl', 'critic', 'new', 'googl', 'social', 'servic'))]	529.55	-5.8	2.0
2011-05-20	[(('googl', 'said', 'file', 'set', 'asid', 'million', 'pay', 'possibl', 'settlement', 'inquiri'), ('mani', 'author', 'may', 'concern', 'googl', 'plan', 'make', 'book', 'avail', 'free', 'onlin', 'number', 'happi', 'promot', 'work', 'compani', 'speaker', 'seri')), (('googl', 'brace', 'settlement', 'concern', 'display', 'ad', 'onlin', 'pharmaci', 'sell', 'counterfeit', 'drug', 'requir', 'prescript'),), (('a', 'decad', 'later', 'age', 'googl', 'facebook', 'antitrust', 'settlement', 'dim', 'memori'),), (('by', 'build', 'hire', 'europ', 'american', 'internet', 'giant', 'tri', 'win', 'heart', 'mind', 'face', 'legal', 'regulatori', 'polit', 'challeng'), ('bing', 'announc', 'new', 'social', 'featur', 'tap', 'facebook', 'data', 'improv', 'search', 'result')), (('ann', 'althous', 'left', 'univers', 'wisconsin', 'law', 'school', 'matt', 'welch', 'reason', 'debat', 'googl', 'threat', 'free', 'speech'),)]	524.03	-5.5	2.0
2011-05-27	[(('livescrib', 'smartpen', 'send', 'digit', 'note', 'audio', 'collect', 'web', 'servic', 'the', 'compani', 'say', 'sold', 'one', 'million', 'pen'),), (('googl', 'offer', 'mobil', 'payment', 'mastercard', 'citigroup', 'accord', 'person', 'brief', 'introduct', 'well', 'cellphon', 'carrier', 'hardwar', 'manufactur', 'retail'),), (('googl', 'wallet', 'mobil', 'applic', 'allow', 'consum', 'wave', 'cellphon', 'retail', 'termin', 'make', 'payment', 'instead', 'pull', 'credit', 'card'),)]	520.9	-3.1	2.0
2011-06-03	[(('googl', 'introduc', 'mobil', 'applic', 'allow', 'consum', 'make', 'payment', 'wave', 'cellphon', 'retail', 'termin', 'rather', 'pull', 'credit', 'card'),), (('the', 'search', 'giant', 'enter', 'field', 'deliveri', 'discount', 'small', 'busi', 'initi', 'test', 'program', 'portland', 'ore'),), (('googl', 'said', 'hack', 'account', 'includ', 'senior', 'american', 'govern', 'offici', 'polit', 'activist'), ('how', 'sync', 'ipad', 'onlin', 'googl', 'calendar', 'way', 'make', 'window', 'reopen', 'folder', 'automat', 'restart', 'comput'), ('secretari', 'state', 'hillari', 'rodham', 'clinton', 'call', 'alleg', 'breach', 'googl', 'email', 'servic', 'veri', 'serious'))]	523.08	2.2	1.0
2011-06-10	[(('googl', 'take', 'latest', 'step', 'display', 'advertis', 'busi', 'bid', 'buy', 'admeld'), ('googl', 'negoti', 'buy', 'admeld', 'display', 'advertis', 'compani', 'around', 'million', 'report', 'clair', 'cain', 'miller', 'bit', 'blog'))]	509.505	-13.6	2.0
2011-06-17	[(('there', 'strong', 'correl', 'often', 'peopl', 'search', 'onlin', 'estat', 'agent', 'actual', 'hous', 'price', 'two', 'bank', 'england', 'research', 'wrote', 'report', 'monday'), ('googl', 'agre', 'acquir', 'admeld', 'million', 'sign', 'commit', 'display', 'advertis', 'busi')), (('googl', 'announc', 'way', 'search', 'voic', 'imag', 'said', 'would', 'save', 'two', 'five', 'second', 'load', 'web', 'page'),)]	485.02	-24.5	2.0
2011-06-24	[(('breakfast', 'ny', 'market', 'compani', 'base', 'brooklyn', 'creat', 'opensourc', 'hardwar', 'project', 'help', 'promot', 'new', 'googl', 'search', 'featur'),)]	474.88	-10.1	2.0
2011-07-01	[(('support', 'tax', 'onlin', 'advertis', 'flag', 'critic', 'said', 'impos', 'levi', 'advertis', 'expenditur', 'would', 'littl', 'effect', 'googl', 'internet', 'compani'), ('the', 'feder', 'trade', 'commiss', 'report', 'prepar', 'issu', 'subpoena', 'widerang', 'civil', 'investig', 'practic', 'googl', 'search', 'engin', 'busi'), ('the', 'case', 'could', 'turn', 'biggest', 'showdown', 'govern', 'major', 'technolog', 'compani', 'sinc', 'microsoft', 'antitrust', 'trial', 'decad', 'ago')), (('when', 'googl', 'health', 'introduc', 'marissa', 'mayer', 'googl', 'execut', 'said', 'would', 'larg', 'ongo', 'initi', 'compani', 'hope', 'would', 'attract', 'million', 'regular', 'user'), ('googl', 'confirm', 'friday', 'feder', 'trade', 'commiss', 'open', 'antitrust', 'investig', 'core', 'search', 'advertis', 'busi', 'the', 'inquiri', 'potenti', 'turn', 'biggest', 'showdown', 'unit', 'state', 'governm')), (('the', 'googl', 'street', 'view', 'car', 'ask', 'troubl', 'i', 'happi', 'oblig'),), (('a', 'french', 'internet', 'compani', 'plusv', 'say', 'googl', 'block', 'web', 'site', 'rob', 'advertis', 'revenu'), ('googl', 'engag', 'climat', 'scientist', 'develop', 'new', 'communic', 'tool', 'techniqu', 'foster', 'comprehens', 'climat', 'energi', 'issu'), ('andi', 'rubin', 'vice', 'presid', 'engin', 'googl', 'said', 'compani', 'activ', 'android', 'devic', 'day'), ('the', 'new', 'servic', 'intend', 'make', 'easi', 'share', 'group', 'instead', 'one', 'friend', 'entir', 'web')), (('googl', 'new', 'socialnetwork', 'site', 'could', 'unlik', 'alli', 'corner', 'convinc', 'user', 'sign', 'it'), ('the', 'driver', 'elus', 'cameraequip', 'car', 'photograph', 'street', 'view', 'googl', 'map', 'seem', 'happi', 'end', 'len'), ('a', 'report', 'stumbl', 'car', 'provid', 'imag', 'street', 'view', 'googl', 'map', 'and', 'chase', 'begin'), ('after', 'releas', 'googl', 'tuesday', 'googl', 'suspend', 'new', 'invit', 'social', 'network', 'here', 'expect', 'find', 'alreadi', 'use', 'it'))]	521.028	46.1	1.0
2011-07-08	[(('critic', 'argu', 'googl', 'use', 'domin', 'one', 'area', 'muscl', 'unfair', 'other', 'microsoft', 'did'), ('the', 'defunct', 'canadian', 'telecommun', 'equip', 'maker', 'sold', 'patent', 'asset', 'consortium', 'technolog', 'telecom', 'giant', 'billion', 'cash'), ('googler', 'eager', 'interact', 'user', 'new', 'googl', 'servic')), (('the', 'web', 'search', 'compani', 'import', 'peopl', 'internet', 'experi', 'regul', 'examin', 'behavior'),), (('googl', 'new', 'social', 'network', 'site', 'hasnt', 'activ', 'long', 'founder', 'facebook', 'rival', 'alreadi', 'sign', 'gain', 'friend'),)]	531.99	11.0	1.0
2011-07-15	[(('googl', 'map', 'android', 'allow', 'user', 'download', 'map', 'use', 'cell', 'servic', 'wifi'),), (('lead', 'generat', 'compani', 'crush', 'local', 'merchant', 'search', 'result', 'present', 'real', 'challeng', 'googl'),), (('through', 'effort', 'like', 'person', 'finder', 'site', 'street', 'view', 'record', 'earthquak', 'tsunami', 'googl', 'final', 'win', 'new', 'friend', 'japan'),), (('three', 'girl', 'unit', 'state', 'top', 'prize', 'global', 'scienc', 'fair', 'start', 'googl', 'project', 'ovarian', 'cancer', 'grill', 'chicken', 'indoor', 'air', 'qualiti'), ('googl', 'googl', 'social', 'network', 'easytous', 'privaci', 'control', 'allow', 'video', 'chat', 'mani', 'peopl'))]	597.62	65.6	1.0
2011-07-22	[(('the', 'compani', 'stock', 'price', 'rose', 'afterhour', 'trade', 'follow', 'result', 'first', 'larri', 'page', 'chief', 'execut'), ('googl', 'get', 'busi', 'write', 'ebook', 'market', 'book', 'titl', 'win', 'zero', 'moment', 'truth')), (('googl', 'decis', 'focus', 'privaci', 'googl', 'might', 'right', 'signal', 'entic', 'user', 'away', 'facebook'),), (('a', 'yearold', 'fort', 'worth', 'grand', 'prize', 'googl', 'scienc', 'fair', 'last', 'week'), ('a', 'mobil', 'version', 'googl', 'new', 'social', 'network', 'applic', 'arriv', 'app', 'store'), ('corpor', 'ventur', 'fund', 'invest', 'million', 'startup', 'first', 'three', 'month', 'year', 'accord', 'nation', 'ventur', 'capit', 'associ', 'million', 'period', 'last', 'year', 'million', 'tech', 'invest'), ('googl', 'play', 'ventur', 'capitalist', 'hottest', 'market', 'technolog', 'startup', 'compani', 'decad')), (('googl', 'allow', 'u', 'save', 'hard', 'drive', 'space', 'matter', 'time', 'improv', 'accuraci', 'recal'), ('googl', 'chief', 'financi', 'offic', 'speak', 'googl', 'spend', 'whether', 'chrome', 'android', 'ever', 'make', 'money', 'life', 'larri', 'page')), (('in', 'war', 'social', 'web', 'googl', 'build', 'arsenal', 'the', 'compani', 'bought', 'fridg', 'social', 'network', 'servic', 'complement', 'googl', 'plus', 'we', 'strong', 'believ', 'group', 'social', 'experi', 'couldnt', 'think', 'better', 'place', 're'), ('mani', 'googl', 'user', 'alreadi', 'face', 'problem', 'facebook', 'how', 'deal', 'peopl', 'want', 'googl', 'buddi', 'dont', 'realli', 'like', 'much'))]	618.23	20.6	1.0
2011-07-29	[(('farhad', 'manjoo', 'left', 'slate', 'harri', 'mccracken', 'technolog', 'discus', 'newest', 'new', 'thing'),), (('while', 'googl', 'make', 'design', 'choic', 'consensus', 'appl', 'found', 'success', 'reli', 'eye', 'steve', 'job', 'whose', 'role', 'resembl', 'film', 'auteur'), ('think', 'quarter', 'businesstobusi', 'market', 'tool', 'googl', 'make', 'debut', 'week', 'but', 'it', 'promot', 'retro', 'techniqu', 'snail', 'mail'), ('the', 'new', 'social', 'network', 'make', 'u', 'rethink', 'even', 'briefli', 'onlin', 'realiti', 'mean'))]	603.69	-14.5	2.0
2011-08-05	[(('googl', 'join', 'site', 'like', 'kayak', 'bing', 'travel', 'hotelscom', 'offer', 'hotel', 'search'), ('the', 'deal', 'come', 'le', 'one', 'month', 'googl', 'fail', 'win', 'cach', 'patent', 'nortel', 'network')), (('microsoft', 'invest', 'billion', 'dollar', 'bing', 'search', 'engin', 'but', 'face', 'daunt', 'rival', 'googl', 'giant', 'search', 'to', 'compet', 'microsoft', 'focus', 'aggreg', 'present', 'specif', 'kind', 'inform', 'area', 'like', 'travel'),), (('the', 'technolog', 'giant', 'recent', 'roll', 'googl', 'offer', 'locationbas', 'daili', 'deal', 'servic', 'acquir', 'the', 'dealmap', 'startup', 'aggreg', 'discount', 'hundr', 'groupbuy', 'site'),), (('the', 'tech', 'world', 'patent', 'war', 'reach', 'new', 'high', 'low', 'microsoft', 'googl', 'trade', 'attack', 'mobil', 'patent'),)]	579.04	-24.7	2.0
2011-08-12	[(('could', 'internet', 'giant', 'deal', 'hachett', 'livr', 'clear', 'path', 'deal', 'settl', 'longstand', 'litig', 'unit', 'state'),), (('a', 'technolog', 'consult', 'use', 'googl', 'new', 'videochat', 'servic', 'offer', 'cook', 'lesson', 'apart', 'turn', 'busi'), ('what', 'good', 'video', 'confer', 'could', 'good', 'kitchen')), (('googl', 'take', 'facebook', 'game', 'social', 'network', 'googl', 'includ', 'popular', 'one', 'like', 'angri', 'bird', 'zynga', 'poker'),)]	563.77	-15.3	2.0
2011-08-19	[(('the', 'acquisit', 'googl', 'largest', 'ever', 'would', 'turn', 'maker', 'android', 'mobil', 'oper', 'system', 'fullfledg', 'cellphon', 'manufactur', 'direct', 'competit', 'appl'), ('googl', 'announc', 'monday', 'agre', 'acquir', 'motorola', 'mobil', 'billion', 'largest', 'acquisit', 'one', 'sure', 'attract', 'antitrust', 'scrutini'), ('the', 'detail', 'googl', 'acquir', 'motorola', 'mobil', 'per', 'share', 'mean', 'competitor', 'tavi', 'mccourt', 'analyst', 'morgan', 'keegan'), ('googl', 'acquisit', 'motorola', 'mobil', 'share', 'may', 'mean', 'compani', 'think', 'best', 'way', 'make', 'money', 'mobil', 'comput', 'own', 'devic', 'dealbook', 'editor', 'andrew', 'ross', 'sorkin', 'speak', 'tavi', 'mccourt', 'analyst', 'morga'), ('googl', 'activ', 'posit', 'deal', 'motorola', 'mobil', 'mean', 'buy', 'way', 'handset', 'market', 'opportun', 'buy', 'portfolio', 'patent')), (('googl', 'made', 'billion', 'bet', 'monday', 'futur', 'futur', 'big', 'internet', 'compani', 'lie', 'mobil', 'comput', 'move', 'aggress', 'take', 'arch', 'rival', 'appl', 'mobil', 'market', 'the', 'silicon', 'valley', 'giant', 'known', 'i'),)]	490.92	-72.8	2.0
2011-08-26	[(('the', 'acquisit', 'agreement', 'googl', 'sharpli', 'regul', 'motorola', 'run', 'busi', 'way', 'beyond', 'normal', 'deal', 'term'),), (('the', 'motorola', 'ventur', 'busi', 'expert', 'say', 'promis', 'educ', 'googl', 'consum', 'cranki', 'demand', 'be'),), (('it', 'secret', 'googl', 'want', 'motorola', 'patent', 'challeng', 'come', 'defin', 'els', 'motorola', 'bring', 'deal'), ('now', 'motorola', 'accept', 'googl', 'billion', 'bid', 'cellphon', 'maker', 'look', 'like', 'thumb', 'search', 'giant', 'mani', 'acquisit', 'aim', 'creat', 'wellarticul', 'synergi', 'two', 'compani', 'motorola'), ('how', 'block', 'someon', 'googl', 'work', 'block', 'user')), (('the', 'agreement', 'end', 'inquiri', 'search', 'engin', 'practic', 'illeg', 'ad', 'onlin', 'pharmaci'), ('the', 'compani', 'set', 'asid', 'million', 'resolv', 'inquiri', 'illeg', 'market', 'drug', 'onlin', 'ad')), (('q', 'if', 'i', 'block', 'someon', 'googl', 'person', 'still', 'see', 'thing', 'i', 'post'), ('pm', 'updat', 'googl', 'pay', 'million', 'settl', 'feder', 'govern', 'charg', 'know', 'shown', 'illeg', 'ad', 'fraudul', 'canadian', 'pharmaci', 'unit', 'state', 'justic', 'depart', 'announc', 'wednesday'))]	526.86	35.9	1.0
2011-09-02	[(('la', 'martinir', 'split', 'revenu', 'googl', 'book', 'digit', 'sale', 'outofprint', 'copyrightprotect', 'work'), ('just', 'year', 'acquir', 'slide', 'million', 'googl', 'shut', 'social', 'network', 'app')), (('the', 'breach', 'could', 'occur', 'user', 'iran', 'went', 'googl', 'site', 'like', 'gmail', 'googl', 'doc'),)]	524.84	-2.0	2.0
2011-09-09	[(('in', 'recent', 'month', 'mani', 'perfect', 'healthi', 'busi', 'across', 'countri', 'expir', 'accord', 'googl', 'place', 'fix', 'error', 'often', 'difficult'), ('googl', 'declin', 'discus', 'review', 'method')), (('the', 'deal', 'compani', 'behind', 'high', 'popular', 'guid', 'restaur', 'bar', 'make', 'zagat', 'cornerston', 'googl', 'local', 'content', 'offer'), ('the', 'restaurantguid', 'compani', 'becom', 'cornerston', 'googl', 'local', 'offer'), ('googl', 'disclos', 'continu', 'us', 'enough', 'electr', 'power', 'home', 'say', 'so', 'also', 'make', 'planet', 'greener'))]	524.85	0.0	0.0
2011-09-16	[(('pm', 'updat', 'for', 'year', 'wave', 'onlin', 'competitor', 'erod', 'zagat', 'formid', 'empir', 'quotationmarkhappi', 'review', 'restaur', 'bar', 'around', 'world'), ('everi', 'time', 'someon', 'googl', 'data', 'center', 'somewher', 'us', 'electr')), (('googl', 'took', 'unusu', 'step', 'warn', 'gmail', 'user', 'iran', 'secur', 'account', 'week', 'unidentifi', 'hacker', 'generat', 'fake', 'web', 'site', 'certif', 'may', 'allow', 'iranian', 'state', 'monitor', 'communic', 'citizen'),), (('what', 'happen', 'googl', 'take', 'over', 'on', 'person', 'blog', 'dave', 'reisner', 'zagat', 'oper', 'develop', 'document', 'first', 'two', 'day', 'googl', 'rule', 'mr', 'reisner', 'call', 'nerdi', 'dream', 'come', 'true'),), (('googl', 'introduc', 'tool', 'search', 'flight', 'use', 'softwar', 'acquir', 'acquisit', 'ita'), ('after', 'frank', 'p', 'quattron', 'invest', 'bank', 'enter', 'discuss', 'price', 'motorola', 'mobil', 'quick', 'went', 'up')), (('googl', 'optout', 'option', 'though', 'motiv', 'european', 'privaci', 'law', 'offer', 'worldwid'), ('how', 'googl', 'new', 'flight', 'search', 'function', 'compar', 'popular', 'travel', 'site', 'like', 'kayak'), ('on', 'tuesday', 'googl', 'unveil', 'googl', 'flight', 'search', 'competitor', 'kayak', 'traveloc', 'expedia', 'airfareshop', 'site'))]	546.68	21.8	1.0
2011-09-23	[(('googl', 'offer', 'public', 'longawait', 'googl', 'wallet', 'work', 'one', 'sprint', 'phone', 'citibank', 'account', 'mastercard'),), (('googl', 'open', 'social', 'network', 'googl', 'public', 'ad', 'new', 'featur', 'help', 'compet', 'facebook'), ('new', 'googl', 'servic', 'open', 'general', 'public', 'here', 'primer'), ('eric', 'schmidt', 'googl', 'chairman', 'tell', 'senat', 'panel', 'antitrust', 'investig', 'googl', 'larg', 'result', 'complaint', 'disgruntl', 'competitor')), (('googl', 'tuesday', 'open', 'invitationon', 'social', 'network', 'googl', 'anyon', 'want', 'join', 'googlecom', 'googl', 'emphas', 'privaci', 'like', 'easili', 'share', 'select', 'group', 'sibl', 'colleagu', 'featur', 'like', 'video', 'cha'),), (('david', 'pogu', 'offer', 'parodi', 'look', 'googl', 'wallet', 'intend', 'replac', 'credit', 'card', 'actual', 'wallet', 'dont', 'cut', 'plastic', 'quit', 'yet'), ('you', 'might', 'escap', 'nothnagel', 'live', 'themeless'))]	525.51	-21.2	2.0
2011-09-30	[(('the', 'follow', 'transcript', 'republican', 'presidenti', 'debat', 'orlando', 'fla'), ('the', 'compani', 'chief', 'oper', 'offic', 'margo', 'georgiadi', 'leav', 'five', 'month', 'job', 'return', 'googl')), (('saturday', 'mark', 'would', 'th', 'birthday', 'jim', 'henson', 'in', 'honorth', 'googl', 'doodl', 'interact', 'puppet', 'show', 'design', 'googl', 'jim', 'henson', 'compani'), ('jim', 'henson', 'one', 'drive', 'creativ', 'forc', 'behind', 'two', 'televis', 'icon', 'children', 'program', 'sesam', 'street', 'the', 'muppet', 'show')), (('larri', 'page', 'make', 'rare', 'public', 'appear', 'speak', 'frank', 'manag', 'googl', 'googl', 'should', 'stand', 'beauti', 'technolog', 'puriti', 'innov', 'thing', 'import', 'peopl', 'said', 'it', 'also', 'trust', 'brand', 'said'),), (('the', 'justic', 'depart', 'second', 'request', 'come', 'time', 'googl', 'dealmak', 'face', 'increas', 'scrutini'),), (('a', 'bus', 'brand', 'googl', 'logo', 'travel', 'across', 'egypt', 'scout', 'next', 'generat', 'technolog', 'entrepreneur'), ('googl', 'earth', 'wonder', 'program', 'explor', 'world', 'requir', 'certain', 'amount', 'comput', 'horsepow', 'run', 'proper'), ('in', 'debat', 'news', 'medium', 'larri', 'page', 'said', 'googl', 'respons', 'focus', 'peopl', 'attent', 'the', 'real', 'issu'), ('at', 'googl', 'zeitgeist', 'confer', 'advertis', 'partner', 'convers', 'widerang', 'alway', 'came', 'back', 'technolog'))]	515.04	-10.5	2.0
2011-10-07	[(('antitrust', 'regul', 'ask', 'inform', 'googl', 'propos', 'billion', 'acquisit', 'motorola', 'mobil'),), (('appl', 'need', 'compet', 'android', 'phone', 'free', 'phone', 'cost'),), (('googl', 'chromebook', 'laptop', 'browser', 'desktop', 'softwar', 'storag', 'hard', 'peopl', 'understand', 'googl', 'invit', 'shopper', 'test', 'popup', 'shop', 'unit', 'state', 'britain'),)]	515.12	0.1	1.0
2011-10-14	[(('googl', 'said', 'negoti', 'major', 'record', 'label', 'expand', 'cloud', 'music', 'servic', 'also', 'open', 'mp', 'store', 'would', 'compet', 'appl', 'amazon'),)]	591.68	76.6	1.0
2011-10-21	[(('googl', 'core', 'busi', 'search', 'advertis', 'seem', 'far', 'weather', 'econom', 'doldrum', 'hurt', 'site', 'public', 'reli', 'ad'), ('five', 'month', 'introduc', 'cloud', 'music', 'servic', 'limit', 'capabl', 'googl', 'negoti', 'major', 'record', 'label', 'expand', 'servic', 'also', 'open', 'mp', 'store', 'would', 'compet', 'appl', 'amazon', 'accord', 'nu')), (('googl', 'say', 'mobil', 'multibillion', 'dollar', 'busi', 'analyst', 'wonder', 'whether', 'cellphon', 'user', 'ever', 'click', 'ad', 'way', 'comput'),), (('googl', 'wednesday', 'announc', 'new', 'data', 'visual', 'tool', 'googl', 'analyt', 'show', 'path', 'peopl', 'take', 'web', 'site', 'ad', 'see'),), (('sergey', 'brin', 'vic', 'gundotra', 'talk', 'googl', 'new', 'android', 'phone', 'farafield', 'project', 'memo', 'put', 'mr', 'brin', 'sleep', 'though', 'incumb', 'social', 'network', 'like', 'facebook', 'clear', 'advantag', 'user', 'alreadi', 'there', 'mr', 'gundotra', 's'),)]	590.49	-1.2	2.0
2011-10-28	[(('custom', 'buy', 'song', 'googl', 'store', 'abl', 'recommend', 'googl', 'contact', 'listen', 'may', 'tempt', 'buy', 'them'),), (('in', 'earli', 's', 'john', 'wanamak', 'polit', 'figur', 'wellknown', 'merchant', 'coin', 'one', 'famous', 'quot', 'advertis', 'half', 'money', 'i', 'spend', 'advertis', 'wast', 'the', 'troubl', 'is', 'i', 'know', 'half', 'for', 'past'),), (('with', 'deal', 'belt', 'year', 'googl', 'alreadi', 'smash', 'record', 'acquisit'), ('it', 'one', 'billion', 'worth', 'acquisit', 'year'))]	600.14	9.6	1.0
2011-11-04	[(('googl', 'tvs', 'first', 'product', 'underwhelm', 'googl', 'tri', 'again', 'humbler', 'goal'),), (('it', 'appear', 'investor', 'flock', 'groupon', 'forthcom', 'initi', 'public', 'offer', 'like', 'custom', 'one', 'daili', 'deal', 'giant', 'coupon', 'the', 'compani', 'consid', 'rais', 'price', 'share', 'current', 'expect', 'rang'),), (('this', 'week', 'podcast', 'includ', 'clair', 'cain', 'miller', 'updat', 'googl', 'tv', 'softwar', 'nick', 'wingfield', 'user', 'complaint', 'batteri', 'life', 'iphon', 's'),), (('googl', 'made', 'unusu', 'widereach', 'chang', 'search', 'algorithm', 'show', 'realtim', 'result'), ('recap', 'workshop', 'humancomput', 'inform', 'retriev', 'googl', 'headquart', 'mountain', 'view'))]	596.14	-4.0	2.0
2011-11-11	[(('san', 'francisco', 'acknowledg', 'search', 'give', 'peopl', 'stale', 'result', 'googl', 'revis', 'method', 'thursday', 'make', 'answer', 'timeli', 'it', 'one', 'biggest', 'tweak', 'googl', 'search', 'algorithm', 'affect', 'percent', 'all'),), (('the', 'compani', 'hope', 'compet', 'facebook', 'corpor', 'page'),), (('search', 'news', 'herman', 'cain', 'accus', 'could', 'lead', 'peopl', 'cain', 'fundrais', 'appeal'),), (('although', 'googl', 'long', 'thrive', 'encourag', 'upstart', 'project', 'within', 'larger', 'compani', 'one', 'develop', 'gmail', 'new', 'chief', 'execut', 'larri', 'page', 'pull', 'back', 'strategi', 'sinc', 'take', 'april', 'kill', 'more'), ('there', 'lot', 'googl', 'hater', 'there', 'predict', 'ultim', 'demis', 'but', 'googl', 'isnt', 'go', 'anywher'), ('there', 'lot', 'googl', 'hater', 'there', 'predict', 'ultim', 'demis', 'but', 'googl', 'go', 'anywher', 'that', 'googl', 'hope', 'build', 'social', 'network', 'compet', 'facebook', 'twitter', 'other', 'it', 'googl'))]	608.35	12.2	1.0
2011-11-18	[(('at', 'googl', 'x', 'clandestin', 'lab', 'mani', 'employe', 'know', 'exist', 'engin', 'robot', 'expert', 'tackl', 'list', 'shootforthestar', 'idea', 'eventu', 'might', 'seem', 'farfetch'), ('googl', 'tri', 'make', 'black', 'box', 'search', 'algorithm', 'transpar', 'reveal', 'chang', 'year', 'make', 'algorithm', 'they', 'affect', 'search', 'rare', 'languag', 'offici', 'web', 'page', 'among', 'other')), (('a', 'tightlip', 'team', 'behind', 'street', 'view', 'featur', 'googl', 'map', 'use', 'tricycl', 'fit', 'elabor', 'camera', 'system', 'photograph', 'central', 'park', 'wind', 'pathway', 'onlin', 'explor'), ('googl', 'alreadi', 'offer', 'degre', 'streetlevel', 'view', 'new', 'york', 'citi', 'citi', 'turn', 'attent', 'park', 'locat', 'inaccess', 'car', 'trike', 'panoram', 'camera', 'system', 'nine', 'len', 'mount', 'oversi')), (('googl', 'pressur', 'regul', 'offer', 'peopl', 'option', 'keep', 'name', 'locat', 'wifi', 'router', 'compani', 'databas'), ('berlin', 'googl', 'pressur', 'privaci', 'regul', 'netherland', 'said', 'tuesday', 'would', 'give', 'consum', 'around', 'world', 'option', 'remov', 'digit', 'detail', 'home', 'wifi', 'router', 'compani', 'global', 'internet', 'map', 'r'), ('qs', 'about', 'news', 'how', 'would', 'fleet', 'robot', 'street', 'chang', 'world'), ('googl', 'music', 'sell', 'individu', 'track', 'well', 'full', 'album', 'let', 'custom', 'store', 'file', 'cloud', 'account', 'custom', 'allow', 'share', 'music', 'offer', 'friend', 'one', 'free', 'chanc', 'listen', 'purchas', 'track')), (('pm', 'updat', 'look', 'extend', 'reach', 'hub', 'entertain', 'social', 'network', 'googl', 'introduc', 'set', 'music', 'featur', 'wednesday', 'includ', 'download', 'store', 'compet', 'itun', 'the', 'servic', 'googl', 'music', 'sell', 'i'), ('googl', 'music', 'sell', 'individu', 'track', 'well', 'full', 'album', 'let', 'custom', 'store', 'file', 'cloud', 'account', 'custom', 'allow', 'share', 'music', 'offer', 'friend', 'one', 'free', 'chanc', 'listen', 'track', 'purchas', 'servi'))]	594.88	-13.5	2.0
